Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Etios ,2.41 Lakh,new delhi,Petrol,Manual,103776,2012,Toyota
Swift ,3.25 Lakh,new delhi,Diesel,Manual,65145,2015,Maruti
i20 ,4.00 Lakh,new delhi,Petrol,Manual,58495,2014,Hyundai
Swift Dzire ,5.17 Lakh,new delhi,Diesel,Automatic,78630,2016,Maruti
Tiago ,3.88 Lakh,new delhi,Petrol,Manual,39946,2018,Tata
Baleno ,4.93 Lakh,new delhi,Petrol,Manual,100940,2018,Maruti
Polo ,3.09 Lakh,new delhi,Petrol,Manual,87681,2014,Volkswagen
Ecosport ,3.97 Lakh,new delhi,Diesel,Manual,84785,2014,Ford
Verna ,3.73 Lakh,new delhi,Diesel,Manual,98110,2012,Hyundai
Zen Estilo ,1.78 Lakh,new delhi,Petrol,Manual,53285,2012,Maruti
Jazz ,3.77 Lakh,new delhi,Diesel,Manual,118769,2015,Honda
Venue ,9.86 Lakh,new delhi,Petrol,Automatic,23352,2019,Hyundai
Ertiga ,4.09 Lakh,new delhi,Petrol,Manual,68026,2012,Maruti
Corolla Altis ,14.23 Lakh,new delhi,Petrol,Automatic,65059,2018,Toyota
Baleno ,5.75 Lakh,new delhi,Petrol,Manual,88599,2017,Maruti
Jazz ,4.73 Lakh,new delhi,Petrol,Manual,71615,2016,Honda
Tiago ,3.67 Lakh,new delhi,Petrol,Manual,95446,2017,Tata
Ciaz ,4.56 Lakh,new delhi,Diesel,Manual,66204,2014,Maruti
City ,11.16 Lakh,new delhi,Petrol,Manual,23461,2020,Honda
Wagon R ,3.76 Lakh,new delhi,Petrol,Manual,24136,2017,Maruti
Brio ,2.90 Lakh,new delhi,Petrol,Manual,108487,2014,Honda
City ,11.26 Lakh,new delhi,Petrol,Manual,22498,2019,Honda
Swift ,3.30 Lakh,new delhi,Diesel,Manual,118631,2014,Maruti
Swift ,4.94 Lakh,new delhi,Petrol,Manual,27798,2017,Maruti
Amaze ,4.46 Lakh,new delhi,Petrol,Manual,93568,2017,Honda
Wagon R ,4.27 Lakh,new delhi,Petrol,Manual,26819,2018,Maruti
Venue ,10.36 Lakh,new delhi,Petrol,Automatic,26521,2019,Hyundai
Vitara Brezza ,9.81 Lakh,new delhi,Petrol,Manual,8481,2021,Maruti
Celerio ,2.87 Lakh,new delhi,Petrol,Manual,59536,2014,Maruti
Baleno ,4.75 Lakh,new delhi,Petrol,Manual,47224,2015,Maruti
Swift Dzire ,2.78 Lakh,new delhi,Petrol,Manual,92613,2011,Maruti
Hector ,15.96 Lakh,new delhi,Petrol,Automatic,28596,2019,MG
Swift ,3.66 Lakh,new delhi,Diesel,Manual,115206,2015,Maruti
Kiger ,7.63 Lakh,new delhi,Petrol,Automatic,6302,2021,Renault
KWID ,2.85 Lakh,new delhi,Petrol,Manual,45940,2018,Renault
KWID ,2.14 Lakh,new delhi,Petrol,Manual,38286,2015,Renault
Alto K10 ,3.14 Lakh,new delhi,Petrol,Manual,32714,2017,Maruti
KWID ,2.70 Lakh,new delhi,Petrol,Manual,18096,2015,Renault
i20 ,4.00 Lakh,new delhi,Petrol,Manual,63615,2015,Hyundai
Amaze ,3.96 Lakh,new delhi,Petrol,Manual,66669,2015,Honda
Amaze ,3.95 Lakh,new delhi,Petrol,Manual,60719,2015,Honda
i10 ,2.70 Lakh,new delhi,Petrol,Manual,41264,2014,Hyundai
Wagon R ,3.18 Lakh,new delhi,Petrol,Manual,65343,2015,Maruti
Duster ,3.57 Lakh,new delhi,Diesel,Manual,121605,2014,Renault
City ,5.24 Lakh,new delhi,Diesel,Manual,98772,2015,Honda
XUV500 ,5.69 Lakh,new delhi,Diesel,Manual,98891,2015,Mahindra
Alto K10 ,2.30 Lakh,new delhi,Petrol,Manual,91937,2015,Maruti
Terrano ,2.83 Lakh,new delhi,Diesel,Manual,123145,2013,Nissan
Vento ,3.36 Lakh,new delhi,Petrol,Automatic,91929,2013,Volkswagen
Swift ,1.65 Lakh,new delhi,Petrol,Manual,68000,2011,Maruti
Q3 ,22.90 Lakh,new delhi,Diesel,Automatic,38000,2017,Audi
Swift ,5.50 Lakh,new delhi,Petrol,Manual,30000,2019,Maruti
Amaze ,3.35 Lakh,new delhi,Petrol,Manual,53000,2013,Honda
Swift ,3.55 Lakh,new delhi,Petrol,Manual,50000,2013,Maruti
Ciaz ,8.50 Lakh,new delhi,Petrol,Manual,45000,2018,Maruti
Celerio ,4.50 Lakh,new delhi,Petrol,Automatic,35000,2017,Maruti
Ciaz ,7.00 Lakh,new delhi,Petrol,Manual,30000,2018,Maruti
