,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
9087,Seltos ,1889999,mumbai,Diesel,Automatic,17000,2020,Kia
9088,Creta ,1495000,mumbai,Petrol,Automatic,13916,2019,Hyundai
9089,Innova ,515000,mumbai,Diesel,Manual,141589,2011,Toyota
9090,SX4 S Cross ,1185000,mumbai,Petrol,Automatic,18025,2021,Maruti
9091,AMG GLC 43 ,8900000,mumbai,Petrol,Automatic,8000,2022,Mercedes-Benz
9092,E-Class ,7550000,mumbai,Diesel,Automatic,10000,2021,Mercedes-Benz
9093,E-Class ,5850000,mumbai,Diesel,Automatic,13000,2019,Mercedes-Benz
9094,Discovery ,6400000,mumbai,Petrol,Automatic,28000,2022,Land Rover
9095,XUV500 ,551000,mumbai,Diesel,Manual,120000,2011,Mahindra
9096,7 Series ,2375000,mumbai,Diesel,Automatic,97000,2013,BMW
9097,7 Series ,2375000,mumbai,Diesel,Automatic,97000,2013,BMW
9098,Getz ,125000,mumbai,Petrol,Manual,62000,2008,Hyundai
9099,Octavia ,860000,mumbai,Petrol,Automatic,50573,2015,Skoda
9100,Vento ,325000,mumbai,Petrol,Manual,41000,2012,Volkswagen
9101,Alto 800 ,399000,mumbai,Petrol,Manual,2200,2019,Maruti
9102,5 Series ,1250000,mumbai,Diesel,Automatic,115827,2013,BMW
9103,Swift Dzire ,385000,mumbai,Petrol,Manual,70101,2012,Maruti
9104,Polo ,594000,mumbai,Diesel,Manual,42000,2016,Volkswagen
9105,Wagon R ,234000,mumbai,Petrol,Manual,52000,2011,Maruti
9106,Vitara Brezza ,735000,mumbai,Diesel,Manual,96643,2017,Maruti
9107,Seltos ,1895000,mumbai,Diesel,Automatic,17000,2020,Kia
9108,Ecosport ,525000,mumbai,Petrol,Manual,15000,2014,Ford
9109,i10 ,284000,mumbai,Petrol,Automatic,69000,2011,Hyundai
9110,Ertiga ,750000,mumbai,CNG,Manual,72000,2017,Maruti
9111,Vento ,295000,mumbai,Petrol,Automatic,72000,2011,Volkswagen
